AlleleID,DiseaseCount
24368,2
24378,2
24379,2
24382,2
24383,2
24384,2
24385,2
24386,2
24387,2
24388,2
32699,2
32700,2
32709,2
32710,2
32711,2
32714,2
32715,2
32720,2
32721,2
32732,2
32733,2
32734,2
45944,2
45945,2
45946,2
45948,2
45949,2
45954,2
45955,2
45956,2
45958,2
45959,2
45960,2
45966,2
45967,2
45970,2
45971,2
45972,2
45975,2
45976,2
45977,2
45978,2
45979,2
45980,2
45982,2
45983,2
45985,2
45989,2
45992,2
45996,2
45997,2
45998,2
45999,2
46002,2
46003,2
46005,2
46006,2
46007,2
46008,2
46009,2
46010,2
46011,2
46016,2
46017,2
46019,2
46020,2
46021,2
46024,2
46026,2
46029,2
46031,2
46032,2
46033,2
46034,2
46035,2
46036,2
46038,2
46040,2
46041,2
46042,2
46043,2
46044,2
46045,2
46046,2
46049,2
46050,2
46055,2
46056,2
46057,2
46060,2
46061,2
46062,2
46063,2
46065,2
46066,2
46069,2
46071,2
46073,2
46078,2
46080,2
46081,2
46083,2
46084,2
46085,2
46092,2
46093,2
46096,2
46097,2
46099,2
46104,2
46105,2
46110,2
46111,2
46112,2
46113,2
46114,2
46115,2
46117,2
46118,2
46119,2
46120,2
46121,2
46122,2
46123,2
46125,2
46127,2
46128,2
46129,2
46131,2
46132,2
46136,2
46137,2
46138,2
46139,2
46140,2
46141,2
46147,2
46149,2
46150,2
46152,2
46153,2
46154,2
46155,2
46156,2
46157,2
46159,2
46160,2
46161,2
46162,2
46163,2
46168,2
46169,2
46170,2
46171,2
46174,2
46175,2
46176,2
46177,2
46181,2
46182,2
46183,2
46184,2
46185,2
46186,2
46187,2
46188,2
46189,2
46190,2
46191,2
46192,2
46193,2
46194,2
46195,2
46196,2
46197,2
46198,2
46199,2
46201,2
46202,2
46203,2
46204,2
46206,2
46210,2
46212,2
46214,2
46215,2
46216,2
46217,2
46219,2
46220,2
46222,2
46223,2
46224,2
46226,2
46227,2
46228,2
46229,2
46230,2
46231,2
46232,2
46233,2
46235,2
46236,2
46237,2
46240,2
46241,2
46242,2
46245,2
46246,2
46248,2
46252,2
46253,2
46256,2
46257,2
46258,2
46259,2
46262,2
46263,2
46265,2
46267,2
46268,2
46269,2
46270,2
46272,2
46273,2
46274,2
46275,2
46276,2
46277,2
46278,2
46283,2
46285,2
46288,2
46290,2
46294,2
46295,2
46296,2
46297,2
46298,2
46299,2
46300,2
46301,2
46302,2
46303,2
46305,2
46306,2
46307,2
46308,2
46309,2
46311,2
46313,2
46314,2
46315,2
46316,2
46320,2
46321,2
46322,2
46323,2
46324,2
46326,2
46327,2
46328,2
46331,2
46333,2
46334,2
46335,2
46336,2
46337,2
46339,2
46340,2
46341,2
46342,2
46344,2
46345,2
46346,2
46347,2
46350,2
46353,2
46354,2
46355,2
46356,2
46357,2
46359,2
46360,2
46361,2
46362,2
46363,2
46364,2
46365,2
46366,2
46368,2
46369,2
46371,2
46372,2
46373,2
46374,2
46375,2
46376,2
46377,2
46378,2
46379,2
46381,2
46384,2
46385,2
46388,2
46389,2
46390,2
46391,2
46392,2
46393,2
46394,2
46395,2
46396,2
46397,2
46398,2
46399,2
46400,2
46401,2
46403,2
46404,2
46405,2
46406,2
46407,2
46408,2
46410,2
46413,2
46419,2
46421,2
46422,2
46423,2
46425,2
46427,2
46430,2
46434,2
46438,2
46440,2
46442,2
46443,2
46444,2
46445,2
46446,2
46449,2
46452,2
46453,2
46454,2
46456,2
46464,2
46465,2
46466,2
46467,2
46470,2
46472,2
46473,2
46476,2
46478,2
46479,2
46480,2
46481,2
46482,2
46483,2
46484,2
46486,2
46487,2
46488,2
46492,2
46493,2
46494,2
46497,2
46498,2
46500,2
46501,2
46502,2
46504,2
46506,2
46508,2
46514,2
46520,2
46524,2
46525,2
46527,2
46528,2
46529,2
46530,2
46535,2
46538,2
46539,2
46540,2
46541,2
46542,2
46543,2
46545,2
46546,2
46547,2
46548,2
46550,2
46551,2
46552,2
46553,2
46556,2
46558,2
46559,2
46560,2
46561,2
46562,2
46563,2
46564,2
46565,2
46566,2
46567,2
46568,2
46570,2
46572,2
46574,2
46575,2
46576,2
46577,2
46578,2
46579,2
46580,2
46581,2
46582,2
46583,2
46584,2
46586,2
46588,2
46589,2
46590,2
46591,2
46592,2
46593,2
46595,2
46596,2
46601,2
46605,2
46607,2
46608,2
46610,2
46614,2
46617,2
46619,2
46620,2
46622,2
46624,2
46625,2
46626,2
46627,2
46628,2
46629,2
46632,2
46633,2
46634,2
46636,2
46637,2
46639,2
46640,2
46641,2
46642,2
46644,2
46645,2
46652,2
46653,2
46654,2
46655,2
46656,2
46658,2
46660,2
46663,2
46664,2
46665,2
46666,2
46667,2
46668,2
46670,2
46671,2
46672,2
46674,2
46676,2
46677,2
46678,2
46679,2
46680,2
46681,2
46683,2
46684,2
46685,2
46686,2
46687,2
